Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time
ecoli_,3,Multivariate,0.0,8,0.0,159,34,3.0108470916748047
ecoli_,3,Multivariate,0.2,53,3.845186993497576,226,58,120.03896188735962
ecoli_,3,Multivariate,0.4,107,7.661260352986356,159,34,120.05520510673523
ecoli_,3,Multivariate,0.6,160,8.06451287721255,241,60,120.05884099006653
ecoli_,3,Multivariate,0.8,214,10.288061609851189,199,60,120.07145619392395
ecoli_,3,Multivariate,1.0,268,12.133886136449314,199,60,120.58976697921753
ecoli_,4,Univariate,0.0,8,0.0,154,33,1.0664989948272705
ecoli_,4,Univariate,0.2,53,18.0999001549728,66,20,120.04348707199097
ecoli_,4,Univariate,0.4,107,20.72071138706694,44,14,120.07189917564392
ecoli_,4,Univariate,0.6,160,19.642848373728405,44,11,120.12938284873962
ecoli_,4,Univariate,0.8,214,18.58406257342364,40,15,120.12034702301025
ecoli_,4,Univariate,1.0,268,16.01730908341598,36,12,120.2549729347229
ecoli_,4,Multivariate,0.0,8,0.0,241,60,32.993287086486816
ecoli_,4,Multivariate,0.2,53,12.133886136449314,199,60,120.05708813667297
ecoli_,4,Multivariate,0.4,107,8.502020849384271,226,58,120.46446585655212
ecoli_,4,Multivariate,0.6,160,12.605036720572807,241,60,120.1547749042511
ecoli_,4,Multivariate,0.8,214,9.836061542597728,267,67,120.13217616081238
ecoli_,4,Multivariate,1.0,268,7.630519023887942,199,60,120.17339611053467
