Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
breast_cancer_,3,Univariate,0.0,2,0.0,356,90,0.026597976684570312,1
breast_cancer_,3,Univariate,0.2,91,0.0,25,11,78.19033193588257,1
breast_cancer_,3,Univariate,0.4,182,15.18986957218492,25,7,120.09992098808289,1
breast_cancer_,3,Univariate,0.6,273,5.324072841649805,22,11,120.15781593322754,1
breast_cancer_,3,Univariate,0.8,364,7.311319030349286,29,12,120.15248203277588,1
breast_cancer_,3,Univariate,1.0,455,5.568444183655642,24,13,120.20513892173767,1
breast_cancer_,3,Heuristic (FhS),0.0,2,NaN,32,6,120.39298295974731,8
breast_cancer_,3,Heuristic (FhS),0.2,91,NaN,24,11,120.32734894752502,4
breast_cancer_,3,Heuristic (FhS),0.4,182,1.3363025977054348,32,8,120.16280889511108,1
breast_cancer_,3,Heuristic (FhS),0.6,273,3.409090134297697,35,12,120.29307699203491,1
breast_cancer_,3,Heuristic (FhS),0.8,364,4.597700092482738,19,6,120.69714498519897,1
breast_cancer_,3,Heuristic (FhS) with shifts,0.0,2,1.3363025977054348,22,6,120.29341697692871,6
breast_cancer_,3,Heuristic (FhS) with shifts,0.2,91,NaN,24,11,120.20900797843933,4
breast_cancer_,3,Heuristic (FhS) with shifts,0.4,182,1.3363025977054348,0,0,120.17031598091125,1
breast_cancer_,3,Heuristic (FhS) with shifts,0.6,273,3.644646094613646,37,12,121.01971507072449,1
breast_cancer_,3,Heuristic (FhS) with shifts,0.8,364,4.597700092482738,8,0,120.85767197608948,1
breast_cancer_,3,Exact (FeS),0.0,2,39.999987692311485,54,13,120.11965990066528,6
breast_cancer_,3,Exact (FeS),0.2,91,NaN,39,19,120.46622490882874,3
breast_cancer_,3,Exact (FeS),0.4,182,1.3363025977059224,31,12,120.23887491226196,1
breast_cancer_,3,Exact (FeS),0.6,273,1.7897087718772324,27,16,120.63827681541443,1
breast_cancer_,3,Exact (FeS),0.8,364,4.1189921924503,23,7,120.95790100097656,1
